Day,Year,Hour,Minute,Second,Name,Shares,Ask_Price,Bid_Price
125,2020,12,21,36,MDGS,10,3.18,3.14
125,2020,12,21,46,TUES,10,0.4857,0.48
125,2020,12,24,20,MDGS,10,3.18,3.13
125,2020,12,24,29,MDGS,10,3.18,3.12
125,2020,12,25,3,TUES,10,0.4844,0.48
125,2020,12,26,0,MDGS,10,3.14,3.12
125,2020,12,26,43,MDGS,10,3.18,3.12
125,2020,12,28,4,MDGS,10,3.17,3.12
125,2020,12,29,18,MDGS,10,3.18,3.12
125,2020,12,29,25,MDGS,10,3.18,3.13
125,2020,12,29,35,MDGS,10,3.18,3.14
125,2020,12,29,45,MDGS,10,3.17,3.14
125,2020,12,29,55,MDGS,10,3.18,3.13
125,2020,12,30,45,MDGS,10,3.17,3.13
125,2020,12,31,6,MDGS,10,3.16,3.13
125,2020,12,31,27,MDGS,10,3.16,3.12
125,2020,12,31,52,MDGS,10,3.16,3.15
125,2020,12,31,56,MDGS,10,3.17,3.12
125,2020,12,32,17,MDGS,10,3.18,3.14
125,2020,12,32,27,MDGS,10,3.18,3.15
125,2020,12,33,20,MDGS,10,3.18,3.14
125,2020,12,33,50,MDGS,10,3.16,3.14
125,2020,12,34,10,MDGS,10,3.16,3.12
125,2020,12,40,9,TUES,10,0.488,0.48
125,2020,12,40,32,TUES,10,0.4801,0.48
125,2020,12,44,56,TUES,10,0.4879,0.48
125,2020,12,45,34,TUES,10,0.4878,0.48
125,2020,12,46,56,TUES,10,0.4878,0.4801
125,2020,12,47,6,TUES,10,0.4824,0.4801
125,2020,12,48,31,TUES,10,0.4825,0.4801
125,2020,12,49,19,MDGS,10,3.16,3.14
125,2020,12,49,30,TUES,10,0.4824,0.4801
125,2020,12,50,24,MDGS,10,3.15,3.12
125,2020,12,50,57,MDGS,10,3.15,3.13
125,2020,12,51,4,MDGS,10,3.15,3.12
125,2020,12,53,27,MDGS,10,3.14,3.12
125,2020,12,54,35,TUES,10,0.4802,0.4801
125,2020,12,56,57,TUES,10,0.4801,0.48
125,2020,12,57,49,TUES,10,0.48,0.4799
125,2020,12,58,49,MDGS,10,3.14,3.13
125,2020,13,0,22,TUES,10,0.4789,0.4751
125,2020,13,0,31,TUES,10,0.4769,0.4751
125,2020,13,0,40,TUES,10,0.476,0.4751
125,2020,13,1,5,TUES,10,0.4754,0.4751
125,2020,13,1,50,TUES,10,0.4753,0.4751
125,2020,13,3,24,TUES,10,0.4789,0.4753
125,2020,13,3,44,TUES,10,0.4789,0.4751
125,2020,13,4,54,MDGS,10,3.14,3.12
125,2020,13,5,11,MDGS,10,3.14,3.11
125,2020,13,5,30,MDGS,10,3.18,3.16
125,2020,13,5,30,TUES,10,0.4789,0.476
125,2020,13,5,39,MDGS,10,3.18,3.15
125,2020,13,6,10,TUES,10,0.4774,0.476
125,2020,13,6,20,MDGS,10,3.18,3.16
125,2020,13,6,31,MDGS,10,3.2,3.17
125,2020,13,6,31,TUES,10,0.4774,0.4751
